x,xStar,y,yStar
4779,2771,F27B,2503
AA8E,CA86,81EB,5821
3B25,5B2D,ADE3,114B
4C10,2C18,E961,8018
DB8F,BB87,59FA,1671
9D0B,FD03,2C4C,39D9
39C3,59CB,8ADA,7D98
2A4D,4A45,EE51,5FB9
6BAB,0BA3,A436,10A8
963C,F634,920A,1DC7
C138,A130,9FE9,7A90
FAA0,9AA8,481F,EA20
36DA,56D2,7942,7152
6730,0738,F8FC,DBBA
6545,054D,0B49,E67D
F31E,9316,B273,627D
2084,408C,4B67,781F
8C29,EC21,0F2C,1EE7
D7D4,B7DC,6135,7D5C
745E,1456,87C8,6CA0
8FA0,EFA8,41AE,FF58
5518,3510,4040,B517
F709,9701,838D,9558
F999,9991,CDE6,07C9
077C,6774,5C8C,533C
F9DD,99D5,8E34,D75B
8E95,EE9D,667F,4711
1972,797A,C66D,0668
4183,218B,489A,0D6F
6C74,0C7C,DC65,D315
75D8,15D0,D85F,F3E4
F9CD,99C5,A283,990E
8632,E63A,EF15,6659
29A0,49A8,A2DF,3801
5EB8,3EB0,19A1,548A
8833,E83B,F790,95A8
EB1F,8B17,A69F,294A
EE40,8E48,B47B,63B9
40BF,20B7,EAB5,C5D2
A735,C73D,3F7D,36ED
5DF5,3DFD,20BE,B162
0465,646D,E4A6,7652
0846,684E,ED70,FA33
7CC1,1CC9,673D,08A5
BF7E,DF76,E20F,83FA
5EB6,3EBE,91D0,D72B
5C61,3C69,4C4B,F5E2
2772,477A,833F,0760
0DD0,6DD8,7596,6A58
57B8,37B0,BF12,4E46
D13D,B135,E0B7,355B
FC56,9C5E,4163,F16F
B742,D74A,681F,CFDD
F49A,9492,9778,61A4
F05E,9056,FAD0,1AD2
F002,900A,9B5E,17BB
F80E,9806,76CF,D6CA
C087,A08F,4957,74BF
B469,D461,5F13,7F12
D79F,B797,6439,0C0C
B99A,D992,5DE7,4CAB
6A61,0A69,90DE,2CCD
7E00,1E08,47DD,8439
01E7,61EF,BE75,2E70
67B7,07BF,83F8,B3F2
D9F0,B9F8,32F4,3724
BAE9,DAE1,3B0F,BB0B
D1BA,B1B2,A2CF,80ED
D756,B75E,872A,EBEF
1D19,7D11,88A1,D73A
E9A0,89A8,4399,04CB
9EBE,FEB6,8F44,2F46
A932,C93A,CABB,DD5F
1AC5,7ACD,2BF1,356A
A7A5,C7AD,F18E,F4DE
A4E8,C4E0,4405,70BB
C300,A308,A7EA,C8D6
1482,748A,8056,9059
BB3C,DB34,DF40,BBEA
E6C8,86C0,B30C,C077
F1D6,91DE,C600,B609
ADDD,CDD5,3DBC,3F0C
5911,3919,C6DA,B06D
F001,9009,1DAB,8B5A
E196,819E,91BE,C6DC
C3A2,A3AA,48F4,5E30
D472,B47A,B069,1856
413D,2135,8FE6,99F9
A32D,C325,B5DA,B9EA
DE85,BE8D,E52A,864F
4180,2188,9AC4,3F4C
D433,B43B,9014,51FE
3B74,5B7C,6250,A1E5
CF08,AF00,4903,F05F
808A,E082,A14E,1FD4
DA3A,BA32,4B32,1A09
9718,F710,EB10,4F2F
C8A4,A8AC,1A7C,DA7F
CAF6,AAFE,A04F,B51C
EE11,8E19,431A,F24D
099A,6992,CB66,8B63
81DE,E1D6,E25E,479C
CA82,AA8A,808B,93B7
F17E,9176,AF59,2F5B
E8C0,88C8,B68B,6009
3118,5110,7371,5A2C
F846,984E,6221,5225
667A,0672,15F1,95F0
7E8A,1E82,5FBC,4FB2
1EFD,7EF5,269D,FFA9
99D8,F9D0,C46F,93D0
0ACD,6AC5,7323,615B
B3B6,D3BE,6718,FB4D
87EB,E7E3,7BF9,1FA1
E664,866C,901C,31F4
A237,C23F,2A41,47DC
3404,540C,48B4,332F
DC24,BC2C,75BD,6C79
2F5C,4F54,9CE5,8DAF
3330,5338,B2C7,4360
0D84,6D8C,BBA9,B5D9
60EA,00E2,8F77,BF7A
5364,336C,C564,BCD6
2274,427C,8410,6568
0A0E,6A06,E454,9502
2280,4288,F653,5B25
3208,5200,491E,21B6
4BD9,2BD1,7F5D,61A9
FED5,9EDD,24F5,705F
0731,6739,FE3C,AAAE
9253,F25B,08A8,DE50
955F,F557,432F,BD38
CEFA,AEF2,8BFA,F709
DB31,BB39,79A2,59A3
A169,C161,79E9,3872
B5EB,D5E3,9303,5F4B
2373,437B,83A9,31C7
BC5E,DC56,4DD3,0A9D
A5B4,C5BC,C1A8,91A7
9A1E,FA16,7980,9989
5B2A,3B22,5954,5684
4365,236D,7E81,1FA9
8D4B,ED43,A98F,6204
4C43,2C4B,BA7F,615A
6808,0800,709F,6D52
280D,4805,513B,E878
04AA,64A2,C6C6,86C3
76E1,16E9,8D5F,DFF8
