x,xStar,y,yStar
AB0E,CB06,26CE,67B6
AFD1,CFD9,36B5,86B7
3D94,5D9C,8482,47C3
E057,805F,E95E,25DA
857B,E573,6E41,7418
FF14,9F1C,0130,0E70
E37D,8375,1B16,69F9
4AB1,2AB9,DAC6,EF2E
658D,0585,F61A,A20F
01DC,61D4,874E,2ABD
40CE,20C6,E3D4,92EA
8B61,EB69,FAA8,4485
C0E4,A0EC,AE83,4E8A
FB5B,9B53,FFA7,120E
DB87,BB8F,3E72,0D61
491C,2914,E546,3401
4029,2021,6F05,B563
B622,D62A,2659,23B9
1330,7338,6048,2857
77BC,17B4,B156,D438
28A9,48A1,C7EA,30AF
DA7B,BA73,C0BC,B880
64E2,04EA,CF4F,8F43
AE85,CE8D,C278,FEBD
E184,818C,F809,E75D
2578,4570,9030,329A
8698,E690,D4FC,C5DF
3FB4,5FBC,23B0,DA37
36F7,56FF,DFAB,358F
A42A,C422,0B27,04F7
9055,F05D,3B25,1003
5A4B,3A43,3CBC,2966
BD15,DD1D,9390,F20E
5AB2,3ABA,0599,A7AC
C5F8,A5F0,906E,8FD1
3485,548D,FCF5,AB31
0CAE,6CA6,0DF2,5200
6C08,0C00,7130,EF25
FE6F,9E67,C4CE,607B
8826,E82E,509B,FA8D
BA01,DA09,C93A,7937
E3C3,83CB,41DE,A839
F935,993D,5C43,2BBB
DF08,BF00,9A8A,C09D
6B67,0B6F,36B0,01FF
E284,828C,50AA,09D5
5A6B,3A63,0D9E,52AB
9427,F42F,9F18,4334
AFDE,CFD6,1863,7574
6D7B,0D73,A854,A6E4
5E1C,3E14,D917,2660
81A9,E1A1,F784,53AF
091C,6914,49ED,D12E
2596,459E,CE81,8BB7
9C27,FC2F,B70E,75FB
F646,964E,B37F,5FCE
763A,1632,82A1,0ED6
49FF,29F7,C92D,4DA5
E564,856C,F3E9,EBFD
66DF,06D7,DA12,2853
5DD3,3DDB,AA9D,FC30
30C3,50CB,8CCC,1976
AF2A,CF22,5EBE,569E
3B8A,5B82,37A2,759B
BAA5,DAAD,4C3F,E5C7
FB2F,9B27,6EA7,CA93
63F1,03F9,EE98,2AA0
619E,0196,C70A,14D8
BA66,DA6E,3567,CED8
8570,E578,2C85,BB54
D78E,B786,3AAA,C7CF
4296,229E,F965,CCBC
3A86,5A8E,CD7E,0CE8
FDC3,9DCB,A2CE,B003
0417,641F,8C77,4340
0E2C,6E24,DBA9,4CCB
0667,666F,429A,85B6
7FE5,1FED,96DE,EF82
74EA,14E2,ACC6,6461
BE11,DE19,677D,B77E
A674,C67C,2D4A,9D42
2545,454D,2F10,E5D8
062C,6624,6D22,B8EC
36D5,56DD,EFB9,D042
92B2,F2BA,93C0,14A7
ED5B,8D53,8886,797B
9CE9,FCE1,2631,2BD1
FECD,9EC5,BC22,6F0C
7C45,1C4D,C77C,8BFD
88C1,E8C9,22BE,79F2
DFF5,BFFD,A43A,D015
DFA6,BFAE,B06A,051C
58F0,38F8,ABFF,0BF7
3FA8,5FA0,3824,7825
8F1C,EF14,3D6F,2AC1
A877,C87F,3473,7961
FFF5,9FFD,3ED6,0568
D63C,B634,8BE1,7BEA
D32C,B324,D4B8,F4B3
E0BF,80B7,1FAF,BDF5
4663,266B,8B56,08C1
ECED,8CE5,69B5,1BD8
3891,5899,FF04,A7B3
BC4A,DC42,15C9,12D9
80D5,E0DD,01A7,DC71
72A3,12AB,F03F,5764
1B67,7B6F,A247,924A
0B3A,6B32,82F3,C2FF
387D,5875,1835,F729
A387,C38F,C501,18E3
9B37,FB3F,D07C,A4C6
65D3,05DB,7549,7C59
42B8,22B0,4232,75E8
E02E,8026,B7B3,CF0A
7C6D,1C65,FD77,65D2
A9D2,C9DA,0BD3,0523
CF01,AF09,5CD1,CCDD
426D,2265,D19A,662E
4B61,2B69,B24B,8B0C
25C3,45CB,30D7,1F6A
9A90,FA98,ADE8,2519
0E55,6E5D,4A22,57E9
A2E8,C2E0,717E,2222
8FF8,EFF0,698B,A87A
3D18,5D10,E47B,4472
C9A5,A9AD,A89D,1E6F
FC8D,9C85,DC2D,4F0E
1BF6,7BFE,D4A6,D1B6
ACE4,CCEC,A9BE,89B4
3E75,5E7D,3CF1,CB35
C406,A40E,0391,91D5
BB53,DB5B,6612,7476
DB57,BB5F,D964,B47C
C297,A29F,91D4,50C7
6373,037B,C9FD,C7AD
0FB1,6FB9,C8E9,5D2F
EA71,8A79,CD5C,BCC0
CA71,AA79,1629,D62F
2AD7,4ADF,E098,1A8C
FB82,9B8A,27A0,9F25
C7A6,A7AE,7BC4,1FB3
19BC,79B4,505B,A4E0
4579,2571,9DA0,AC86
7B40,1B48,0FB7,B702
6B97,0B9F,8C51,EDC2
7028,1020,F3F6,A2AE
99AE,F9A6,75DA,0746
FAAA,9AA2,8D4E,48BF
